source,target,jan_support,feb_support
000115sh,000115sh,0,1
000115sh,Jessica,15,0
000115sh,ahnhyungsub,30,1
000115sh,bigjaejun,13,0
000115sh,binhjleehjh,29,1
000115sh,buzz,3,0
000115sh,cmg,18,0
000115sh,cosmicgirl,12,0
000115sh,daewon,4,0
000115sh,dmlwlsska,13,0
000115sh,doitamazing7,1,0
000115sh,dongho,11,0
000115sh,feeldog,5,0
000115sh,fortediquattro,16,0
000115sh,fromis,1,0
000115sh,girllaboum,27,22
000115sh,gooddayjiwon,23,2
000115sh,guckkasten,29,0
000115sh,gunmin,44,0
000115sh,gx9,1,0
000115sh,hby,3,0
000115sh,hotshot,5,0
000115sh,imfactaeho,28,0
000115sh,imhangyeol,6,2
000115sh,jaejoong,73,0
000115sh,jbj,52,0
000115sh,jdh,28,0
000115sh,jihansol,18,0
000115sh,jinseongho,11,0
000115sh,jjp,7,0
000115sh,jongshin,2,0
000115sh,joohaknyeon,2,0
000115sh,jsh,14,0
000115sh,jungchaeyeon,10,0
000115sh,junsu,1,0
000115sh,kantoz,2,1
000115sh,kim,28,1
000115sh,kimbowon,10,0
000115sh,kimbyunggwan,19,0
000115sh,kimhyojin,1,0
000115sh,kimsejeong,2,0
000115sh,kimseyun,16,0
000115sh,kimsohee,51,6
000115sh,kimtaemin,1,0
000115sh,leedonghun,26,0
000115sh,leehyunjoo,16,4
000115sh,leejungha,3,0
000115sh,leejunyoung,50,23
000115sh,leesoomin,126,0
000115sh,matilda,2,1
000115sh,mino0330,21,0
000115sh,mkyunghoon,18,0
000115sh,mxmymdh,1,0
000115sh,namyujin,35,0
000115sh,nojisun,2,0
000115sh,ohmygirl,15,0
000115sh,onf,2,0
000115sh,paka,6,0
000115sh,parkhyeonjin,21,0
000115sh,parkjeup,14,1
000115sh,pentagon,22,0
000115sh,pledis,12,0
000115sh,rainz,16,0
000115sh,rbwdongmyeong,2,4
000115sh,romeo,16,0
000115sh,romeohyunkyung,1,0
000115sh,ses,16,0
000115sh,shyunkim,15,0
000115sh,sonamoo,24,2
000115sh,soojin,24,0
000115sh,taemin,14,0
000115sh,tbz1206,1,0
000115sh,theboyz,3,0
000115sh,thfl1,16,1
000115sh,tj3579,30,0
000115sh,toppdogg,19,0
000115sh,wannaone,1,0
000115sh,winner,21,21
000115sh,woojinyoung,107,0
000115sh,yangjiwon,23,0
000115sh,yoonjo,1,0
000115sh,yooyeonjung,9,0
19980917,19980917,2,5
19980917,6kies,0,1
19980917,Jessica,3,0
19980917,ace5,3,14
19980917,acejun,2,0
19980917,ahnhyungsub,0,22
19980917,aoa,1,0
19980917,april,0,12
19980917,bap,12,0
19980917,bigjaejun,1,0
19980917,binhjleehjh,13,0
19980917,boa,12,11
19980917,buzz,0,17
19980917,chan,16,17
19980917,chungha,0,1
19980917,cmg,0,13
19980917,daewon,0,16
19980917,day6,2,0
19980917,dmlwlsska,13,22
19980917,doitamazing7,12,29
19980917,exo_new,1,2
19980917,feeldog,46,3
19980917,finkl,6,0
19980917,fromis,2,0
19980917,gf,1,0
19980917,girllaboum,53,47
19980917,godgayoung,2,1
19980917,goldenchild,0,5
19980917,guckkasten,36,30
19980917,gungun,16,11
19980917,gunmin,3,0
19980917,gx9,0,17
19980917,hby,3,1
19980917,highlight,34,42
19980917,hotshot,7,2
19980917,hs,2,2
19980917,imcenter,3,11
19980917,imfactaeho,32,0
19980917,imhangyeol,4,0
19980917,in2it,1,11
19980917,infinite,1,1
19980917,ingihyunsang,1,1
19980917,jbj,52,41
19980917,jeonsomi,2,0
19980917,jihansol,10,5
19980917,jihyo,5,0
19980917,jiwonpark,6,0
19980917,jjy,10,0
19980917,jsh,1,66
19980917,jungchaeyeon,28,3
19980917,jungsewoon,108,0
19980917,junsu,20,0
19980917,kantoz,13,7
19980917,kenta,28,0
19980917,kim,2,25
19980917,kimbowon,1,0
19980917,kimbyunggwan,24,1
19980917,kimhanbin,1,0
19980917,kimhyunsoo,10,0
19980917,kimsejeong,4,2
19980917,kimseyun,65,1
19980917,kimtaedong,0,9
19980917,kwonhyunbin,11,12
19980917,ladiescode,1,0
19980917,leedaehwi,1,24
19980917,leedonghun,6,0
19980917,leehaein,20,19
19980917,leehyunjoo,0,1
19980917,leejungha,4,1
19980917,leejunyoung,40,34
19980917,leesoomin,61,1
19980917,livematilda0317,0,7
19980917,lovelyz,0,10
19980917,mamamoo,1,2
19980917,matilda,9,4
19980917,mkyunghoon,16,39
19980917,mumbok,0,2
19980917,myname,14,0
19980917,namyujin,20,0
19980917,nebula,2,19
19980917,nth0510,1,1
19980917,oh_soul,10,7
19980917,onf,7,6
19980917,parkhyeonjin,4,3
19980917,parkjeup,3,9
19980917,pentagon,7,6
19980917,pledis,16,3
19980917,raehwan,5,0
19980917,rainz,10,0
19980917,rbwdongmyeong,26,17
19980917,redvelvetreveluv,0,15
19980917,rememberses,2,15
19980917,romeo,6,1
19980917,ryujin01,1,0
19980917,ses,11,0
19980917,sonamoo,34,23
19980917,stone,10,0
19980917,sulhyun,10,30
19980917,sungwoo,13,13
19980917,suzy,2,0
19980917,taemin,0,6
19980917,theboyz,18,0
19980917,thfl1,1,0
19980917,tj3579,4,2
19980917,twice,54,0
19980917,vikon,29,9
19980917,wannaone,29,0
19980917,wartortle,0,41
19980917,wheesung,6,6
19980917,woojinyoung,49,18
19980917,yangjiwon,12,8
19980917,yaomingming,15,14
19980917,yooyeonjung,0,1
19980917,yuseonho,1,18
2PM,Jessica,7,0
2PM,ahnhyungsub,43,19
2PM,bigjaejun,6,0
2PM,binhjleehjh,2,0
2PM,blackpink,3,0
2PM,blockb,1,0
2PM,boysrepublic5,2,0
2PM,btob,13,0
2PM,buzz,3,0
2PM,chungha,23,25
2PM,cmg,19,1
2PM,cosmicgirl,20,0
2PM,day6,60,2
2PM,dmlwlsska,23,4
2PM,dreamcatcher,0,5
2PM,exid,2,0
2PM,finkl,6,0
2PM,fromis,16,22
2PM,girlsofthemonth,8,0
2PM,got7,37,22
2PM,gx9,20,0
2PM,highlight,29,0
2PM,hotshot,21,0
2PM,hs,28,1
2PM,imfactaeho,9,0
2PM,imhangyeol,9,4
2PM,jbj,1,0
2PM,jdh,45,0
2PM,jeonsomi,27,6
2PM,jihyo,6,4
2PM,jiwonpark,14,0
2PM,jjy,5,0
2PM,jungchaeyeon,1,0
2PM,kdani,63,29
2PM,kenta,28,10
2PM,kim,114,0
2PM,kimbowon,3,1
2PM,kimbyunggwan,8,0
2PM,kimhanbin,1,1
2PM,kimhyeona,22,0
2PM,kimsanggyun,18,7
2PM,kimsejeong,3,0
2PM,kimseyun,7,3
2PM,kimsohee,21,0
2PM,kimtaedong,7,0
2PM,kimtaemin,3,0
2PM,ksy,26,10
2PM,leehaein,23,1
2PM,leehi,6,1
2PM,leejunyoung,2,5
2PM,leesoomin,36,12
2PM,mamamoo,26,0
2PM,mino0330,49,0
2PM,mkyunghoon,34,17
2PM,myname,11,2
2PM,nebula,40,34
2PM,nuest,51,0
2PM,ohmygirl,37,29
2PM,onf,8,5
2PM,ongsungwoo,105,0
2PM,pentagon,26,0
2PM,rainz,9,0
2PM,redvelvetreveluv,9,0
2PM,rememberses,1,2
2PM,romeo,2,0
2PM,ses,8,0
2PM,shinhwa,29,0
2PM,shinjihoon,9,2
2PM,shp,15,0
2PM,sonamoo,3,0
2PM,ss501,4,0
2PM,suzy,39,4
2PM,thfl1,2,0
2PM,tj3579,28,0
2PM,twice,20,0
2PM,vikon,74,13
2PM,wartortle,0,1
2PM,winner,64,20
2PM,wondergirls_new,13,1
2PM,woojinyoung,10,0
2PM,yaomingming,0,5
2PM,yooyeonjung,19,0
2PM,yuseonho,32,0
6kies,000115sh,1,0
6kies,19980917,4,11
6kies,6kies,48,231
6kies,ace5,0,20
6kies,ahnhyungsub,0,17
6kies,aoa,5,0
6kies,apink,0,1
6kies,april,0,33
6kies,b1a4,0,8
6kies,baejinyoung,0,26
6kies,bigbang,2,3
6kies,bigjaejun,9,0
6kies,binhjleehjh,15,0
6kies,blackpink,46,48
6kies,blockb,13,0
6kies,boa,12,16
6kies,boysingroove14,20,0
6kies,btob,0,16
6kies,buzz,1,45
