fandom_id,fandom_name,jan_post,feb_post,type
000115sh,KIM SU-HYUN : 김수현(미스틱),1547,249,0
19980917,KIM DONG-HYUN / MXM : 김동현,3869,2853,1
2PM,2PM,1787,355,1
6kies,SECHSKIES : 젝스키스,49116,23535,1
Jessica,JESSICA : 제시카,1091,546,0
LimChangJung,LIM CHANG JUNG : 임창정,304,487,1
ace5,A.C.E : ACE,3104,889,1
acejun,"JUN / A.C.E : 준(JUN,박준희)",1757,242,1
ahnhyungsub,HYEONGSEOP / Hyeongseop X Euiwoong : 안형섭,9233,4933,1
anyujin,AN YU-JIN / IZ*ONE : 안유진,0,9,0
aoa,AOA,8936,2848,0
apink,Apink : 에이핑크,72406,77085,0
april,APRIL : 에이프릴,7847,8951,0
astro,ASTRO : 아스트로,1517,1467,1
astromj,MJ / ASTRO : 아스트로 MJ,7,7,1
b1a4,B1A4,4324,2063,1
baejinyoung,BAE JIN-YOUNG / Wanna One : 배진영,6039,3882,1
baekhyun,BAEK-HYUN / EXO : 백현,3050,1639,1
bap,B.A.P,2711,1855,1
ben,BEN : 벤,258,43,0
berrygood,Berry Good : 베리굿,276,290,0
bigbang,BIGBANG : 빅뱅,6046,2326,1
bigjaejun,LEE JEA-JOON : 이재준(바나나컬쳐),1904,9,1
binhjleehjh,RU-BIN LEE : 이루빈,4747,564,1
blackpink,BLACKPINK : 블랙핑크,33198,15108,0
blockb,Block B : 블락비,4417,1548,1
boa,BOA : 보아,8558,11031,0
boysingroove14,B.I.G : 비아이지(보이그룹),1280,30,1
boysrepublic5,Boys Republic : 소년공화국,1074,143,1
btob,BTOB,8249,7914,1
bts,BTS : 방탄소년단,63042,41286,1
buzz,Buzz : 버즈,7959,8030,1
chan,CHAN / A.C.E : 강유찬,1068,1615,1
chukjungha,Jungha : 정하(비트윈),1765,280,1
chungha,CHUNGHA / I.O.I : 김청하,26224,18919,0
clc,CLC,760,1324,0
cmg,REN / NU'EST W : 최민기(렌),5558,2917,1
cosmicgirl,WJSN (Cosmic Girls) : 우주소녀,11827,13610,0
daewon,DAEWON / UNB : 대원,974,473,1
dahyeon,DAHYUN / TWICE : 다현,4080,4272,0
day6,DAY6,18844,7661,1
dickpunks,DICKPUNKS : 딕펑스,173,124,1
dmlwlsska,EUIJIN / UNB : 이의진(빅플로),5942,4102,1
doitamazing7,DIA : 다이아,14674,9780,0
dongbang_new,TVXQ! : 동방신기,1993,2116,1
dongho,BAEK-HO / NU'EST W : 강동호 (백호),9626,5853,1
dreamcatcher,Dreamcatcher : 드림캐쳐,9559,4405,0
ej,JUNG EN-JI / Apink : 정은지,5367,2127,0
eunjiwon,EUN JI-WON / SECHSKIES : 은지원,3228,3046,1
eunyeong,BAE EUN-YOUNG : 배은영,17,17,0
exid,EXID,9572,7065,0
exo_new,EXO,31629,39103,1
feeldog,FEELDOG / UNB : 필독,3591,2653,1
finkl,Fin.K.L : 핑클,1073,645,0
forestella,Forestella : 포레스텔라,1333,1770,1
fortediquattro,Forte di Quattro : 포르테 디 콰트로,1377,2358,1
fromis,Fromis 9 : 프로미스나인,1,0,0
frommeg,FROMM : 프롬,805,155,0
ftisland,F.T. Island : FT 아일랜드,450,375,1
gf,GFriend : 걸그룹 여자친구,76011,40158,0
girllaboum,Laboum : 라붐,11599,8818,0
girlsday,Girl's Day : 걸스데이,3070,1850,0
girlsgeneration_new,Girls' Generation : 소녀시대,11017,6570,0
girlsofthemonth,LOONA : 이달의 소녀,9097,5806,0
god,g.o.d : god,1453,385,1
godgayoung,KIM GA-YOUNG  / Stellar : 김가영,774,629,0
goldenchild,Golden Child : 골든차일드,2780,2251,1
gooddayjiwon,Jiwon / Good Day : 지원(굿데이),3141,855,0
got7,GOT7,4121,3903,1
guckkasten,Guckkasten : 국카스텐,9823,8658,1
gungun,LEE WOO / MADTOWN : 이건,754,271,1
gunmin,LEE GEON MIN : 이건민,1935,171,1
gx9,Gugudan : 구구단,14032,12687,0
gyuri,JANG GYURI / Fromis 9 : 장규리,723,1127,0
haonkim,HAON : 김하온,0,5,1
